"filename", "language", "JavaScript", "JavaScript React", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"e:\Projects\Spring\frontend\the-cart\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 33, 71
"e:\Projects\Spring\frontend\the-cart\package-lock.json", "JSON", 0, 0, 0, 0, 16977, 0, 0, 1, 16978
"e:\Projects\Spring\frontend\the-cart\package.json", "JSON", 0, 0, 0, 0, 46, 0, 0, 1, 47
"e:\Projects\Spring\frontend\the-cart\public\index.html", "HTML", 0, 0, 0, 0, 0, 29, 0, 6, 35
"e:\Projects\Spring\frontend\the-cart\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"e:\Projects\Spring\frontend\the-cart\src\App.js", "JavaScript", 22, 0, 0, 0, 0, 0, 2, 8, 32
"e:\Projects\Spring\frontend\the-cart\src\components\Announcements.jsx", "JavaScript React", 0, 14, 0, 0, 0, 0, 0, 5, 19
"e:\Projects\Spring\frontend\the-cart\src\components\Button.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 6, 25
"e:\Projects\Spring\frontend\the-cart\src\components\Customers.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 9, 32
"e:\Projects\Spring\frontend\the-cart\src\components\Header.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 6, 19
"e:\Projects\Spring\frontend\the-cart\src\components\Hero.jsx", "JavaScript React", 0, 40, 0, 0, 0, 0, 0, 12, 52
"e:\Projects\Spring\frontend\the-cart\src\components\Navbar.jsx", "JavaScript React", 0, 59, 0, 0, 0, 0, 1, 14, 74
"e:\Projects\Spring\frontend\the-cart\src\components\Product.jsx", "JavaScript React", 0, 60, 0, 0, 0, 0, 0, 16, 76
"e:\Projects\Spring\frontend\the-cart\src\components\Products.jsx", "JavaScript React", 0, 30, 0, 0, 0, 0, 0, 10, 40
"e:\Projects\Spring\frontend\the-cart\src\helper\Colors.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 2, 10
"e:\Projects\Spring\frontend\the-cart\src\helper\RequestMethods.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\Projects\Spring\frontend\the-cart\src\index.css", "CSS", 0, 0, 93, 0, 0, 0, 0, 20, 113
"e:\Projects\Spring\frontend\the-cart\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 3, 20
"e:\Projects\Spring\frontend\the-cart\src\pages\Cart.jsx", "JavaScript React", 0, 9, 0, 0, 0, 0, 0, 6, 15
"e:\Projects\Spring\frontend\the-cart\src\pages\Home.jsx", "JavaScript React", 0, 16, 0, 0, 0, 0, 0, 3, 19
"e:\Projects\Spring\frontend\the-cart\src\pages\ProductPage.jsx", "JavaScript React", 0, 87, 0, 0, 0, 0, 0, 24, 111
"e:\Projects\Spring\frontend\the-cart\src\redux\cartRedux.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 21
"e:\Projects\Spring\frontend\the-cart\src\redux\store.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 8
"e:\Projects\Spring\frontend\the-cart\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 140, 315, 93, 38, 17048, 29, 7, 195, 17865